"orcid","pid","top1matcher_longest_common_word","top2matcher_longest_common_word","orcid_name","matched_biblio_author","matched_biblio_author2"
"0000-0002-3428-0157","55a3fca965ce5cd7b3bf6759","savulescu","","anca savulescu","savulescu anca f","glickman michael h"
"0000-0002-9928-7165","5488debe45ce147a86df1cf4","yong yang","","yong yang","yong yang","zhengliang gong"
"0000-0003-3624-5432","55a6571965ce054aad64db40","patriarca","","andrea patriarca","patriarca andrea","castañares eliana"
"0000-0001-8173-4273","56d90e6edabfae2eee2bf973","stapanian","","martin stapanian","martin a stapanian","brian gara"
"0000-0002-3823-0851","53e9a55cb7602d9702e81c0a","hendrickx","","marc e.g. hendrickx","marc hendrickx","marie alminger"
"0000-0002-8718-2753","56d91d88dabfae2eee88fb2d","elizabeth","","elizabeth sullivan","elizabeth a sullivan","y a wang"
"0000-0001-6445-3947","56d8eaa8dabfae2eee4e01ff","middleton","","lavinia middleton","l p middleton","marion e scoggins"
"0000-0002-6921-714X","563e05f20cf219a1e1f70d95","conteduca","","vincenza conteduca","conteduca vincenza","casadio valentina"
"0000-0002-2454-7444","558b13dce4b037c0875ae3d5","jalilvand","","abolfazl jalilvand","jalilvand, a.","aliabadi, m.h."
"0000-0002-2296-8069","53e9b1a3b7602d9703c31f9f","logacheva","","vera logacheva","v. a. logacheva","yu. yu. yakimova"
"0000-0003-3310-8635","56d83134dabfae2eee23b954","patterson","","paul patterson","p patterson","charlotte connor"
"0000-0001-8652-8938","55a3fd1a612ca648688006ee","connerton","","ian connerton","connerton i","roberts k"
"0000-0001-9042-8753","5a1784720cf2651a7c2ad11e","anne-lise","","anne-lise chaber","chaber anne-lise",""
"0000-0002-8783-3245","53e9a439b7602d9702d53e63","qiang gao","","qiang gao","qiang gao","yanmei zhang"
"0000-0001-9290-109X","56d8dad5dabfae2eeeeb8bf6","yong zhao","","yong zhao","yong zhao","sha deng"
"0000-0002-6659-8186","53e9997eb7602d97021c1481","alexander","","edward alexander","edward a. alexander","mark s. siskind"
"0000-0002-1040-4282","55a44a1dc91b587b0975c202","fasshauer","","dirk fasshauer","fasshauer dirk","winter ulrike"
"0000-0003-0533-7422","53e9a914b7602d9703268339","irenaeus ","","irenaeus  de coo","irenaeus f. m. de coo","marie claire y. de wit"
"0000-0003-1141-4439","55a64d9065ce054aad63b520","yugandhar","","kumar yugandhar","yugandhar k","gromiha m michael"
"0000-0003-1137-7375","5c0f87bada562944ac95c1e4","marcelino","","marcelino hermida lópez","marcelino hermida-lópez","david sánchez-artuñedo"
"0000-0003-0369-8750","53e9b076b7602d9703ada911","andreozzi","","paola andreozzi","p. andreozzi","g. santangelo"
"0000-0003-0808-3157","558b4d28e4b031bae1fca712","prabhakar","","anil prabhakar","a r prabhakar","arkajit roy barman"
"0000-0003-3173-0156","53e99a57b7602d97022c0ab5","gorshkova","","elena gorshkova","elena n gorshkova","nina v chichkova"
"0000-0002-9173-1057","56d847c5dabfae2eeebbcad2","evangelou","","eleftherios evangelou","e evangelou","sabry m shaheen"
"0000-0002-8161-5685","55a5eee965cead59c8305c03","duckworth","","douglas duckworth","duckworth d c","smith d h"
