"orcid","pid","top1matcher_longest_common_word","top2matcher_longest_common_word","orcid_name","matched_biblio_author","matched_biblio_author2"
"0000-0002-7115-2621","53e9b6abb7602d9704226918","ulson de souza","ulson de souza","antonio augusto ulson de souza","antônio augusto ulson de souza","selene maria de arruda guelli ulson de souza"
"0000-0003-3572-3105","56f605350cf2d36f21761b93","gregory-evans","gregory-evans","kevin gregory-evans","gregory-evans kevin","gregory-evans cheryl y"
"0000-0002-0782-6564","55a687ba65ce054aad6ab695","maria grazia","maria grazia","maria grazia dente","dente maria grazia","pompa maria grazia"
"0000-0001-9606-1286","53e9b701b7602d9704298a46","janusz chruściel","chruściel","janusz chruściel","janusz chruściel","mirosława ossowska-chruściel"
"0000-0003-3795-5356","57dca4e60cf2e814d2c99c09","cetinkaya","cetinkaya","servet cetinkaya","cetinkaya servet","cetinkaya yasemin fatma"
"0000-0002-3959-004X","5c0f7fcbda562944ac8427b5","christine goffinet","christine","christine goffinet","christine goffinet","christine s falk"
"0000-0001-8077-0141","56d8edacdabfae2eee60c8ca","mohammad","mohammad","mohammad mazloum-ardakani","mohammad mazloumardakani","mohammad abdollahialibeik"
"0000-0002-9764-6734","56d8f697dabfae2eee9734cf","mohammad atai","mohammad","mohammad atai","mohammad atai","mohammad imani"
"0000-0002-9302-5025","56d8fb1fdabfae2eeeb38510","tomoyuki koganezawa","tomoyuki","tomoyuki koganezawa","tomoyuki koganezawa","tomoyuki ikai"
"0000-0001-6896-8024","56d8eb1edabfae2eee50d53f","michael","michael","michael gore","michael a gore","michael e salvucci"
"0000-0001-7040-1836","55a4ce1b65ceb7cb02d8b05e","antoine","antoine","antoine mottier","mottier antoine","serpentini antoine"
"0000-0001-7290-0348","5c0f775bda562944ac718ade","bertoldi","eduardo","eduardo bertoldi","eduardo g bertoldi","luis eduardo p rohde"
"0000-0003-0867-5873","55a42b4bc91b587b096f369e","de giorgio","roberto","roberto de giorgio","de giorgio roberto","corinaldesi roberto"
"0000-0002-7297-1477","53e9abc4b7602d9703575ab4","ken hayashi","hayashi","ken hayashi","ken hayashi","hideyuki hayashi"
"0000-0002-3126-1110","53e9b4bab7602d9703fd3b17","andrzej pazur","andrzej","andrzej pazur","andrzej pazur","andrzej szelmanowski"
"0000-0001-6860-1222","53e9b891b7602d97044675ab","ayşe karaman","karaman","ayşe karaman","ayşe karaman","ibrahim karaman"
"0000-0001-6787-0594","53e9a335b7602d9702c3df8b","stefano bettati","stefano","stefano bettati","stefano bettati","stefano bruno"
"0000-0002-9945-9027","53e9acd2b7602d97036acfd3","larissa de lima alves","larissa","larissa de lima alves","larissa de lima alves","larissa vargas becker"
"0000-0003-3816-8792","5c0f79a2da562944ac76c8cf","hossein asgarian-omran","hossein","hossein asgarian-omran","hossein asgarian-omran","hadi hossein-nataj"
"0000-0002-3482-3182","53e99fe9b7602d97028c683e","steven","steven","steven allen","steven l. allen","steven c. ernest"
"0000-0003-3907-0033","53e9b59ab7602d97040ddc60","warren","zigman","warren zigman","warren b. zigman","april zigman"
"0000-0002-9245-6229","55a6d17265ce054aad770788","kamdar","kamdar","biren kamdar","kamdar biren b","kamdar bharat s"
"0000-0002-7405-551X","56d8f3d4dabfae2eee862945","kozyukhin","sergey","sergey kozyukhin","s a kozyukhin","sergey a sokolov"
"0000-0002-2511-5854","56d865afdabfae2eee9e4582","bahman anvari","bahman","bahman anvari","bahman anvari","baharak bahmani"
"0000-0002-7847-3727","56d82a35dabfae2eeef769af","makoto uchida","uchida","makoto uchida","makoto uchida","hiroyuki uchida"
"0000-0002-9798-6413","53e9a60ab7602d9702f36c59","damian refojo","damian","damian refojo","damian refojo","damiana giacomini"
"0000-0002-5714-7295","53e99e6ab7602d970272f9a0","silvia uccella","silvia","silvia uccella","silvia uccella","silvia franceschetti"
"0000-0002-8306-5357","55a3dab265ce5cd7b3ba6473","islam","islam","dr shofiqul islam","islam shofiqul","islam m rafiqul"
"0000-0002-7345-4084","56d83334dabfae2eee2f8c7a","foster","david","david foster","david j r foster","david hayes"
"0000-0001-9909-7233","55a4e70d65ceb7cb02db8a1b","harrison","megan","megan harrison","harrison megan","apsimon megan"
"0000-0002-5349-4513","55a3e3f865ce5cd7b3bba5fc","zimmerman","peter","peter zimmerman","zimmerman peter a","siba peter m"
"0000-0002-4970-6755","56d8341cdabfae2eee349c28","jonne kotta","kotta","jonne kotta","jonne kotta","ilmar kotta"
"0000-0002-7936-9892","5c0f728bda562944ac664d08","manish kumar","kumar","manish kumar","manish kumar","bandana kumari"
"0000-0001-7931-9652","53e9bb52b7602d97047901e7","sundaram singh","singh","sundaram singh","sundaram singh","satish kumar singh"
"0000-0001-9812-7410","56d89a2edabfae2eee305ac7","kvist lindholm","sofia","sofia kvist lindholm","kvist lindholm","sofia"
"0000-0003-3925-924X","5c0f90e9da562944aca88d7b","karel Šindelka","karel","karel Šindelka","karel Šindelka","karel procházka"
"0000-0001-9285-7535","5c0f802bda562944ac8512d6","abdelrahman ahmed","ahmed","abdelrahman ahmed","abdelrahman ahmed","ahmed subahi"
"0000-0002-0027-2001","5c0f7584da562944ac6d6b9d","wang","wang","wang gang","gang wang","jun-jie wang"
"0000-0002-6092-1261","53e9b9c0b7602d97045b2b91","kuan","kuan","hsuchiang kuan","hsu-chiang kuan","chen-feng kuan"
"0000-0002-1220-0814","56d9177ddabfae2eee635923","yamada","nami","nami yamada","n yamada","minami kumazaki"
"0000-0002-8296-6540","56d81d83dabfae2eeea4bf1f","grundy","will","will grundy","william m grundy","marc william buie"
"0000-0002-9813-0342","53e9a3a5b7602d9702cb7d97","gordon","fain","gordon fain","gordon l. fain","margery j. fain"
"0000-0002-6735-9195","55a4d40a65ceb7cb02d93266","liyong","chen","liyong chen","chen liyong","chen hongyu"
"0000-0002-8118-7019","5c0f7c2cda562944ac7ca206","fangjun","wang","wang fangjun","fangjun wang","wenda wang"
"0000-0002-4440-3632","53e9bd92b7602d9704a3774e","moloney","mark","mark moloney","mark g. moloney","mark hughes"
"0000-0002-2867-8265","59dadf3d0cf293a091fd5458","suschak","john","john suschak","suschak john j","schmaljohn connie s"
"0000-0002-1448-673X","5c363a04df5b8c0b3c3b3c6b","fanghui","wang","fanghui wang","fanghui wang","yanan wang"
"0000-0002-7932-8265","55a3f12f65ce5cd7b3bdf8f8","filppula","anne","anne filppula","filppula anne m","backman janne t"
"0000-0002-9892-2753","55a4894065ce31bc877dfbbd","lawrence","john","john lawrence","lawrence john","girton john"
"0000-0002-0443-4231","5488e3ee45ce147a86e3d2c8","lei wang","wang","lei wang","lei wang","zhenggong wang"
"0000-0002-6035-1828","5c0f7d32da562944ac7f0c4d","jin zhao","zhao","jin zhao","jin zhao","zhihui zhao"
"0000-0002-9579-3503","59bf30390cf2c386f2513cf7","bo young","choi","bo young choi","choi bo young","choi hui chul"
"0000-0002-0899-5271","56d84ab5dabfae2eeed347b0","shlyakova","olga","olga shlyakova","olga a shlyakova","olga v senokosova"
"0000-0001-7633-8284","5c0f8970da562944ac9916eb","feng wang","wang","feng wang","feng wang","yuancheng wang"
"0000-0002-2191-6558","53e9aab6b7602d9703430827","qing chen","chen","qing chen","qing chen","jianhua cheng"
"0000-0001-8502-966X","5488daa545ce147a86dc741b","feifei wang","wang","feifei wang","feifei wang","tao wang"
"0000-0002-0217-0666","5c2ab2f83a55ac6e737232da","jixian zhai","zhai","jixian zhai","jixian zhai","yi zhai"
"0000-0001-8472-8805","56ae9a8d0cf2a8c8f7148981","yansong shen","shen","yansong shen","yansong shen","sheng chew"
"0000-0001-6001-7363","56d83c62dabfae2eee6769ac","ranajay saha","saha","ranajay saha","ranajay saha","s r saha"
"0000-0002-4516-2500","53e9a0b5b7602d970299d743","mingkui wang","wang","mingkui wang","mingkui wang","deyu wang"
"0000-0001-6672-0279","53e9a2a5b7602d9702bacbaf","erik larsson","erik","erik larsson","erik larsson","erik jan marinissen"
"0000-0002-8348-392X","53e9a734b7602d97030690b8","shiguang shan","shan","shiguang shan","shiguang shan","qingshan liu"
"0000-0001-8827-162X","53e9bb08b7602d9704744586","kwangsung park","park","kwangsung park","kwangsung park","jong kwan park"
"0000-0001-7309-6005","53e99d6cb7602d9702627890","ian","ian","ian law","ian h. law","dianne l. atkins"
"0000-0001-7869-8152","53e9aac3b7602d9703440d8b","kim","kim","sunworl kim","sun-worl kim","soo-hyung kim"
"0000-0001-9316-8504","55a60e9065cead59c833a5bd","hsiu-li","lin","hsiu-li lin","lin hsiu-li","lin herng-ching"
"0000-0002-7651-8549","56d83235dabfae2eee29a458","fei dai","fei","fei dai","fei dai","fei luo"
"0000-0003-3471-7512","56d82116dabfae2eeebcd3b5","skerratt","lee","lee skerratt","lee f skerratt","lee r berger"
"0000-0002-2706-6208","55323e6a45cec66b6f9e38ea","erwu liu","liu","erwu liu","erwu liu","fuqiang liu"
"0000-0003-2396-7225","53e9b4bfb7602d9703fd669d","xuemin lin","lin","xuemin lin","xuemin lin","lin wu"
"0000-0002-9547-8466","53e9b650b7602d97041b0b81","minseo kim","kim","minseo kim","minseo kim","jeounghoon kim"
"0000-0001-9125-9541","53e99d74b7602d970262edc5","sanghee kim","kim","sanghee kim","sanghee kim","eunkyung kim"
"0000-0003-4826-7954","5c0f793bda562944ac75e394","hyo-jong lee","lee","hyo-jong lee","hyo-jong lee","ho-young lee"
"0000-0002-0315-2080","53e99dd3b7602d9702691e58","jeong-hoon lee","lee","jeong-hoon lee","jeong-hoon lee","jeong min lee"
"0000-0001-8243-5267","55a6bcfd65ce054aad73a708","jun","li","jun li","li jun","liu liang"
"0000-0002-9159-6385","53e9a7cfb7602d970310f4de","jin","yi","yi jin","jin yi","zhu yibo"
"0000-0002-5358-8931","53e9ab69b7602d970350a432","hai","le","hai le","hai p. le","lord k. cole"
"0000-0002-9303-7480","5488deb745ce147a86df11a4","yu zuo","yu","yu zuo","yu zuo","xiangyu lü."
"0000-0002-7210-8358","5c1369ffda56295a08a406e6","rui li","li","rui li","rui li","bo li"
"0000-0003-0044-1917","55a4b7be65ceb7cb02d6ca9f","wenjun","wu","wenjun wu","wu wenjun","wu yongzhen"
"0000-0002-1924-0413","5ad5a989e84a60108d83e640","chenlei li","li","chenlei li","chenlei li","mei liu"
"0000-0002-7587-0153","5c0f866cda562944ac930a6c","xianguo li","li","xianguo li","xianguo li","zonglin yang"
"0000-0002-9584-2416","56d820cddabfae2eeebaed16","haridass","m","haridass m","m haridass","r arumuganathan"
"0000-0003-2498-3243","53e9b802b7602d97043b46a1","selvaraju","k","selvaraju k","k. selvaraju","s. kumararaman"
"0000-0001-5008-5127","53e9be03b7602d9704ab983e","vengadesan","s","vengadesan s","s. vengadesan","t. sundararajan"
"0000-0002-3673-1580","53e9aac3b7602d970344093f","","","erzsebet nemeth","erzsébet németh","ian t. cameron"
"0000-0002-8211-9333","55a473e4612ca64868970313","","","elisa jiménez","jimenez e","perez a"
"0000-0001-5515-4080","56d91385dabfae2eee4a87eb","","","frédéric barrière","frederic barriere","irene nicolas"
"0000-0002-6780-5159","53e99894b7602d97020d0e75","","","serap teksöz","s. teksoz","f. z. biber müftüler"
"0000-0003-0681-8260","53e9a0bbb7602d97029a280d","","","manuel ricardo ibarra garcía","m.r. ibarra","a. del moral"
"0000-0001-8590-4073","53e9a7d5b7602d970311151b","","","yucel sahin","y�cel ?ahin","mogens br�ndsted nielsen"
"0000-0002-3249-4522","56d8f86edabfae2eeea2d1bc","","","kateřina bartoň tománková","katerina tomankova","hana kolarova"
"0000-0003-2581-5372","56d8e9a0dabfae2eee47e66d","","","raúl f. vázquez","r f vazquez","alaa elsadek"
"0000-0002-2851-413X","53e999cbb7602d9702212f0b","","","john haig marsh ","j.h. marsh","r.w. martin"
"0000-0001-7803-3214","56d8e75cdabfae2eee39f165","","","emile b. bolou-bi","b emile boloubi","arnaud legout"
"0000-0002-0609-6336","55a4bd5fc91bf3b1cc4586f1","","","irma yolanda del río portilla","del rio-portilla yolanda","laskaris nikolaos a"
"0000-0002-0027-2028","53e9b3fdb7602d9703eee59c","","","elvis franca","e. j. de frança","e. a. n. fernandes"
"0000-0002-4159-8999","55a4ef6c65ceb7cb02dc5f7e","","","ana margarida martins salgueiro carta","salgueiro ana m","trindade tito"
"0000-0002-3501-8943","56d8438ddabfae2eee9bd348","","","ondrej jankovsky","ondřej jankovský","stanislava matějkova"
"0000-0002-7439-1759","56d91d57dabfae2eee87d4a1","","","gilles de france","g defrance","l m fraile"
"0000-0001-6706-5210","5c1364ccda56295a089be216","","","t.angeline ","t angeline","w isabel"
"0000-0002-0366-4545","53e9a2a5b7602d9702bafa71","","","juan manuel fernandez luna","juan m. fernández-luna","juan f. huete"
"0000-0003-2993-6200","56d90cd7dabfae2eee22304f","","","daniel sevilla-sanchez","sevilla sanchez d","placeres alsina mm"
"0000-0001-9301-6359","557c414a6feeaa8086d96ce2","","","jan havlík","havlik, j.","martinovska&#x0301;, z."
"0000-0002-7320-2784","55a6c7f065ce054aad759417","","","jette led sørensen","sorensen jette l","thellesen line"
"0000-0001-7320-1530","53e99f12b7602d97027dfecf","","","borja garcia bueno","b. garcia-bueno","j. l. m. madrigal"
"0000-0001-5984-9947","55a4155765ce5cd7b3c39f0e","","","mauricio perroud junior","perroud maurício w","almeida maria t"
"0000-0003-4851-5073","55a4bd0565ceb7cb02d74c91","","","malgorzata nogala-kalucka","nogala-kałucka małgorzata","chrzanowska maria"
"0000-0003-2596-2305","56d917d8dabfae2eee659f1e","","","pierre-henri lanoë","pierrehenri lanoe","jeanluc fillaut"
"0000-0002-4860-5434","55a6a96a65ce054aad6fcfa1","","","robert ","eisenberg bob","liu jinn-liang"
"0000-0003-2383-1950","56d82e03dabfae2eee100d92","","","adam kuzdraliński","a kuzdralinski","e solarska"
"0000-0003-2897-5398","53e997f1b7602d9701fedf15","","","francesc rossello","f. rosselló","j. casasnovas"
"0000-0003-3358-3305","56d82c84dabfae2eee063e06","","","josé-jesús jimenez-rejano","j j jimenezrejano","v perezcabezas"
"0000-0003-2520-6630","53e9a75fb7602d9703098b64","","","nicolás gutiérrez-palma","nicolÁs gutiÉrrez-palma","alfonso palma-reyes"
"0000-0002-6116-9745","53e9b227b7602d9703cbe5d9","","","péter reményi","p. remenyi","g. g. petranyi"
"0000-0002-8068-2632","56d89c41dabfae2eee406187","","","antônio aldo melo-filho","antonio aldo melofilho","antonio goncalves de oliveirafilho"
"0000-0002-7505-4332","53e9b5edb7602d970413f5c4","","","zdenek spacil","zdeněk spáčil","leopold l. ilag"
"0000-0003-1431-2075","53e9a9a9b7602d9703309afc","","","alexander kovalevsky","a. a. kovalevskii",""
"0000-0002-8348-3727","55a6649165ce054aad664830","","","josé javier garcía-ramírez","garcia-ramírez josé-javier","garcía-gallastegui patricia"
"0000-0002-1729-379X","53e99e93b7602d9702757c66","","","anne-genevieve bagneres","a.-g. bagnères","l. leniaud"
"0000-0001-6805-3449","55a66e3565ce054aad678bec","","","elvira larqué daza","larqué e","alcántara-lópez m v"
"0000-0003-0458-3293","53e9bad7b7602d97047044b5","","","juan pedro fernÁndez","juan p. fernández-blázquez","ernesto pérez"
"0000-0001-8430-7621","55a37fc765ce5cd7b3acd4b2","","","ciro romelio rodriguez añez","añez ciro romélio rodriguez","reis rodrigo siqueira"
"0000-0001-8264-865X","53e99a62b7602d97022cf5e3","","","antonio ortega Álvaro","a. ortega-Álvaro","j.a. micó"
"0000-0002-7663-1154","53e9986eb7602d97020aaa1f","","","armando l. morera-fumero","a.l. morera","p. abreu-gonzalez"
"0000-0003-0459-964X","55a55d4f65ceb7cb02e9ba20","","","vijayabhaskar veeravalli","vijaya bhaskar v","middha anil"
"0000-0001-5982-1020","558a8794e4b031bae1f82df1","","","antonio mosquera gonzález","mosquera, a.","carreira, m.j."
"0000-0001-7677-7682","55a65b2e65ce054aad6528dc","","","emílio carlos sponchiado junior","sponchiado emilio c","garcia lucas da fonseca roberti"
"0000-0001-5241-6348","53e9bc0ab7602d970486eba6","","","rosa maria garcía-gimeno","r.m. garcı́a-gimeno","g. zurera-cosano"
"0000-0002-9753-1312","53e9bb02b7602d970473be75","","","Štěpánka hrdá","ŠtĚpÁnka hrdÁ","hanuŠ rozsypal"
"0000-0002-4293-5993","56d836cbdabfae2eee45aca1","","","davood domiri ganji -d.d. ganji","d d ganji","mofid gorji"
"0000-0003-1007-4719","53e9a5afb7602d9702edd20c","","","Árni Árnason","arni arnason","arni gudmundsson"
"0000-0002-2747-9053","5c3dd7453a55ac1f28c58971","","","rasul tarvirdilu-asl","rasnl tarvirdiln-asl","mehdi narimani"
"0000-0002-5664-4230","53e9a9b7b7602d970331623c","","","josé m. fernández-varea","j fernandezvarea","e acosta"
"0000-0001-9936-6712","53e9b689b7602d97041f74cb","","","william martin fuchs schuarzberg","william fuchs","luis garicano"
"0000-0001-9153-5550","55a472fa65ce31bc877b0710","","","sandra isabel pereira dos santos","santos sandra p","bandeiras tiago m"
"0000-0001-9665-1921","53e99d7ab7602d9702636601","","","ewa lipczynska-kochany","e lipczynskakochany",""
"0000-0002-9321-1709","53e99b36b7602d97023d5e8b","","","antonio jesús yuste delgado","a. j. yuste-delgado","s. garcia-galan"
"0000-0001-9836-7908","53e9b998b7602d9704588fd1","","","doaa el.nashar","d. e. el-nashaar","m. a. abd el-ghaffar"
"0000-0003-3231-4648","56d880f8dabfae2eee6772ab","","","olivier gallot-lavallée","o gallotlavallee","j l reboud"
"0000-0003-3021-6489","56d92c1bdabfae2eeede9df7","","","mohammad amin mosleh-shirazi","m a moslehshirazi","m mohammadi"
"0000-0001-6180-0608","53e9a2d6b7602d9702be145e","","","jesus antonio del rio portilla","j antonio del rio","james a humenik"
"0000-0002-9042-9796","558c9d6ae4b02b9f07a81d16","","","noor izzri abdul wahab","wahab, n.i.a.","mohamed, a."
"0000-0002-9956-9138","53e9b3efb7602d9703edd072","","","julio m. arias-reveron","j. m. arias-reverón",""
"0000-0003-4613-4664","53e9bd59b7602d97049f1aa7","","","natalia masnaia","n. v. masnaya","g. m. ratner"
"0000-0002-7441-9459","55a43c84c91b587b09730248","","","young ho  ","kim young ho","choi eun mi"
"0000-0003-3270-825X","55a5a6c4612c6b12ab28b741","","","anna maryanska-nadachowska","maryañska-nadachowska a",""
"0000-0003-0164-4337","56d9191cdabfae2eee6d935e","","","amita raval","h abramowicz","e koffeman"
"0000-0002-3894-7166","53e9bdd4b7602d9704a84fe8","","","josé martínez-gonzález","j. martinez-gonzalez","o. varela"
"0000-0002-6497-2170","53e9ae28b7602d9703839bf4","","","maria teresa pereira lorenzo","m a teresa pereira","josé m. antelo"
"0000-0001-7977-2051","53e9b582b7602d97040c563f","","","josé gutiérrez maldonado","j. gutierrez-maldonado","m. ferrer-garcia"
"0000-0002-4320-042X","53e99de8b7602d97026a9d4e","","","cesar antunes de freitas","césar a. de freitas","manoel c. s. alves"
"0000-0002-0539-7380","53e9a8ebb7602d970323d274","","","albrecht von quadt","udo frhr. quadt","friedrich weibke"
"0000-0003-0995-4444","53e9ae49b7602d97038637fd","","","martina r van dermerwe","marna van der merwe","terence l. van zyl"
"0000-0003-1357-9085","56d81b93dabfae2eee97aeef","","","maría de lourdes garcía rodríguez","lourdes garciarodriguez","baltasar penate"
"0000-0002-2791-5281","55a67faf65ce054aad69a446","","","jingyu yang ","yang jingyu","liu yueyang"
"0000-0002-0623-740X","5c0f84cbda562944ac8f4663","","","francisco javier rodríguez lozano","francisco j rodríguez-lozano","mar collado-gonzález"
"0000-0001-8654-986X","55a4dc1165ceb7cb02da5290","","","ed van bavel","vanbavel e","van den berg r"
"0000-0003-4067-8660","55a39c15c91b587b095c971c","","","arnaldo maldonado junior","maldonado júnior a","amado l a"
"0000-0002-1777-8199","56d8effcdabfae2eee6f01bf","","","josé luis aceña","jose luis acena","kunisuke izawa"
"0000-0002-5325-0738","56a7c5c00cf2a8c8f6f2e112","","","ana torrado agrasar","a. torrado","m. t. moreira"
"0000-0001-9195-9249","53e9b0c2b7602d9703b3275b","","","jan lötvall","lotvall","kawikova"
"0000-0002-8490-4095","56d90411dabfae2eeeeae4af","","","angela p. cuervo-robayo","angela p cuervorobayo","miguel a gomezalbores"
"0000-0002-3808-2588","56d8df44dabfae2eee077938","","","juan luis jiménez gonzález","juanluis jimenez","ancor suarezaleman"
"0000-0001-9539-6623","56d8a0c3dabfae2eee638bde","","","oziel dante montañez valdez","montanezvaldez","oziel"
"0000-0003-0226-0984","59eff7570cf29e4d43cb4a35","wu","","yongda wu","wu socrates yong-da","kwong antonio cho-shing"
"0000-0003-3111-4054","53e9b360b7602d9703e3ff80","hu","","kejin  hu","ke-jin hu","pak-chow leung"
"0000-0002-9578-3890","53e9b36cb7602d9703e4ddf0","qi","","xin qi","x. qi","x. shi"
"0000-0001-7686-8066","55a5358b65ceb7cb02e47cdb","di","","di he","he di","ikeda-ohno atsushi"
"0000-0003-4870-6574","53e9bc54b7602d97048d0685","hur","","gang min hur","gang-min hur","han-ming shen"
"0000-0002-8251-0551","57406f140cf2ba3ec2a0a198","mok","","tony mok","mok t","park k"
"0000-0001-8577-4547","56d837badabfae2eee4b811c","lee","","carman lee","c k m lee","yu ching yeung"
"0000-0002-2087-8887","53e9ae2eb7602d9703842c32","lee","","phil lee","sang-pil lee","in-young choi"
"0000-0002-6614-9284","56d82ef1dabfae2eee15bc21","sun","","wen-hua  sun","wenhua sun","yong chen"
"0000-0003-4653-1862","53e99fc9b7602d97028a2cd7","xia","","yang xia","y. xia","s. zheng"
"0000-0003-3311-6723","5488e1bb45ce147a86e09ef3","zhu","","sheng-cai zhu","shengcai zhu","zhongjun cheng"
"0000-0001-8215-3286","56d8dc21dabfae2eeef3a868","min","","byoung-chul min","byoungchul min","sangcheol yoo"
"0000-0002-8481-302X","53e99a26b7602d970227d46e","lin","","binshan lin","bill lin","michael tartre"
"0000-0001-7591-0613","53e9bc73b7602d97048f1cab","cho","","seung-yeon cho","seung yeon cho","yong kyun kim"
"0000-0002-1443-7057","563b69e10cf20b987890c26a","jon","","jon luzuriaga gonzalez","luzuriaga jon","garcia-gallastegui patricia"
"0000-0002-3145-2494","53e9af46b7602d9703984fd2","you","","greg you","g. you","g. y. wang"
"0000-0002-4606-9551","55a4cf3865ceb7cb02d8da59","kau","","chung how kau","kau chung h","english jeryl d"
"0000-0002-1179-290X","53e9bbeab7602d970483e666","qun","","qun liu","liu qun","niu liwen"
"0000-0001-5966-1207","55a694fc65ce054aad6c9aa0","sun","","di sun","sun di","zhao ya-qin"
"0000-0002-8312-2921","5488e41145ce147a86e419d8","hsu","","chain-shu hsu","chainshu hsu","changzhi li"
"0000-0002-8573-0488","53e9b7e0b7602d970438ebe7","moe","","moe win","moe z. win","pedro c. pinto"
"0000-0002-2049-6686","53e9bd7bb7602d9704a1e359","aly","","dr. ahmed aly","a. s. i. aly","d. c. mackellar"
"0000-0002-2760-634X","5630d6300cf22564a811263b","xin","","xin ren","ren xin","chen jing"
"0000-0002-5494-2699","53e9a2a5b7602d9702bb00f0","naz","","dr. rahila naz","rahila naz","t. hayat"
"0000-0001-5873-403X","5736974a6e3b12023e636433","jan","","jan strejček","jan strejcek","frantisek blahoudek"
"0000-0001-8746-6177","56d8dd11dabfae2eeef9ad15","kim","","dae-hwan kim","daehwan kim","young hwa goo"
"0000-0003-4108-9999","5c356a95df5b8c0b3c39f4d5","man","","yu bon man","yu bon man","eilhann e. kwon"
"0000-0002-1626-5949","56d83aa0dabfae2eee5d0096","bak","","seong-min bak","seongmin bak","seungbeom yoon"
"0000-0001-6826-2224","56d82e9adabfae2eee13a4c9","hou","","qing yu hou","qingyu hou","ping wang"
"0000-0001-9047-2658","5c0f899eda562944ac997c83","gao","","lian-ming gao","lianming gao","hantao qin"
"0000-0001-7610-8681","5679589f0cf282900723cc49","law","","yat yin law","law yat-yin","lee hui-hsin"
"0000-0002-9469-6728","53e9bc80b7602d970490254b","lai","","paul bo-san lai","paul b.s. lai","wan y. lau"
"0000-0003-2061-1282","56d8734fdabfae2eee0538b9","lin","","gong-ru lin","gongru lin","shrhsiung hung"
"0000-0003-2973-7738","56d83c13dabfae2eee658462","huet","","sylvie huet","sylvain huet","floriana gargiulo"
"0000-0001-7787-7853","53e99e93b7602d97027573f4","blom","","nikolaj sorgenfrei blom","nikolaj blom","carsten friis"
"0000-0002-2187-5389","56d92d89dabfae2eeee6265d","hong","","soon-ku hong","soonku hong","hangju ko"
"0000-0001-5909-6754","53e9a905b7602d9703255768","juan","","juan ruso","juan m. ruso","julián costa"
"0000-0002-7008-9720","53e99e04b7602d97026cb37b","deom","","c. michael deom","c.m. deom","a.i. bhat"
"0000-0001-9806-0076","55a5e67465cead59c82ed600","park","","kyung hee park","park kyung-hee","joung kyoung eun"
"0000-0002-4519-7500","55a42a4c2401c6de3b85a83c","vogt","","peter k vogt","vogt p k","monteclaro f s"
"0000-0001-8021-0072","53e9ab7eb7602d970352780a","barr","","richard barr","barr r g","pablos-méndez a"
"0000-0002-4954-5824","53e9ab3eb7602d97034cf582","nero","","luis augusto nero","nero l a","freitas r"
"0000-0002-5239-2080","53e99c6eb7602d970251e432","soro","","antonella soro","a. soro","r. j. paxton"
"0000-0003-1510-8105","53e9aa9cb7602d97034162a9","paul","","paul mort","paul r. mort","andreas braumann"
"0000-0001-8183-9809","56d83927dabfae2eee54676f","wood","","sally wood","s wood","k worda"
"0000-0003-3330-6332","5674135d0cf25cff3e0b167f","kanu","","sheku alfred kanu","kanu sheku a","dakora felix d"
"0000-0002-2413-6178","56d8e8a6dabfae2eee41e653","zhao","","jian-xin zhao","jianxin zhao","kefu yu"
"0000-0003-4725-190X","59fe77c90cf2de755c7ea502","zhai","","kui zhai","zhai kui","zhou wenchao"
"0000-0001-8980-9874","53e99a35b7602d9702293375","hind","","hind lal","lal hind","dostal david e"
"0000-0002-4646-2580","55a41799612ca6486885b267","itoh","","shinichi itoh","itoh","endoh"
"0000-0002-7798-5384","53e9b338b7602d9703e0bbd2","anja","","anja müller-lutz","anja lutz","robert manzke"
"0000-0001-5846-9109","53e9ab89b7602d97035319a2","usui","","hideyuki usui","h. usui","h. matsumoto"
"0000-0003-1351-6113","53e9be4ab7602d9704b0aabd","choy","","david choy","d choy","w li"
"0000-0002-3279-4349","55a651d365ce054aad6454e1","quah","","ching kheng  quah","quah ching kheng","ooi chin wei"
"0000-0002-9146-1229","55a3db5fc91b587b0964a445","hutz","","mara hutz","hutz m h","marques f z c"
"0000-0003-0944-2350","5c0f7219da562944ac64feb0","hoge","","w. scott hoge","w scott hoge","jonathan r polimeni"
"0000-0001-5934-4594","55a49f78c91bf3b1cc40ef7a","wang","","guojian wang","wang guo-jian","zou jian-ping"
"0000-0003-3405-3517","56d8a2a9dabfae2eee714f72","burn","","paul burn","p l burn","m halim"
"0000-0003-0604-6088","53e9bda6b7602d9704a521ee","pyke","","kevin pyke","k. a. pyke","p. j. cookson"
"0000-0002-3340-7777","56d8c456dabfae2eee40dbad","bere","","côme j. a. bere","come j a bere","aslao kobmbaye"
"0000-0002-7007-8036","56d911d4dabfae2eee3fe9f9","chen","","mei-ru chen","meiru chen","peiwen yang"
"0000-0001-9260-4247","5add412ba4d6e613fc7cb547","maia","","joão maia","jo o m. maia","paulo v. s. marques"
"0000-0001-6917-4250","55a5d2c465ce60f99bf63b35","hong","","hong feng","feng hong","yong bin"
"0000-0001-7027-9658","56d928e4dabfae2eeecc04fe","zhou","","guowei zhou","guo wei zhou","d y li"
"0000-0003-0009-5882","55a6995c65ce054aad6d5d4f","yiya","","yiya chen","chen yiya","ganushchak lesya y"
"0000-0002-8827-0018","53e99bb9b7602d970246030c","pant","","puspa raj pant","pant p","upreti d"
"0000-0001-5942-3209","55a63fba65ce054aad619299","john","","john jeka","jeka john j","hwang sungjae"
