"orcid","pm_id","top1matcher_longest_common_word","top2matcher_longest_common_word","orcid_name","matched_biblio_author","matched_biblio_author2"
"0000-0001-5847-4784","27575940","francisco-javier gonzalez-barcala","francisco-javier","francisco-javier gonzalez-barcala","francisco-javier gonzalez-barcala","francisco-javier salgado"
"0000-0003-1787-1438","24961051","stjepanović","stjepanović","mihailo stjepanović","mihailo i stjepanović","mirjana m stjepanović"
"0000-0002-5975-0354","15326164","christopher cawthorne","christopher","christopher cawthorne","christopher cawthorne","christopher j ottley"
"0000-0002-1690-5352","28260245","walsh-buhi","walsh-buhi","eric walsh-buhi","eric r walsh-buhi","margaret walsh-buhi"
"0000-0002-7462-3150","26703367","olescowicz","gislaine ","gislaine  olescowicz","gislaine olescowicz","gislaine kuminek"
"0000-0002-8375-7468","26231479","francesco vairo","francesco","francesco vairo","francesco vairo","francesco maria fusco"
"0000-0002-0647-9556","24205470","susanna miettinen","miettinen","susanna miettinen","susanna miettinen","aimo miettinen"
"0000-0002-2342-5330","23662302","alexander rusanov","alexander","alexander rusanov","alexander rusanov","alexander tonevitsky"
"0000-0003-1437-214X","26647307","verdijk","robert m","robert m verdijk","rob m verdijk","robert m w hofstra"
"0000-0002-6978-542X","24098215","giovanni","roviello","giovanni roviello","giovanni n roviello","giuseppina roviello"
"0000-0003-4161-5573","26471720","jennifer","jennifer","jennifer white","jennifer r white","jennifer l waller"
"0000-0002-6408-718X","29353880","weickert","weickert","thomas weickert","thomas w weickert","cyndi shannon weickert"
"0000-0002-1281-113X","20082357","kazuhiro oiwa","kazuhiro","kazuhiro oiwa","kazuhiro oiwa","kazuhiro kohama"
"0000-0003-3455-1719","26228489","ismail burak gultekin","gultekin","ismail burak gultekin","ismail burak gultekin","serap gultekin"
"0000-0002-7209-1488","19273960","maria pascual","pascual","maria pascual","maria pascual","isabel pascual"
"0000-0001-6782-1581","28110616","richard crook","richard","richard crook","richard crook","richard issitt"
"0000-0001-8536-4986","26499307","andreas ludwig","andreas","andreas ludwig","andreas ludwig","andreas goetzenich"
"0000-0002-3586-3012","26625761","masoud sadeghi","sadeghi","masoud sadeghi","masoud sadeghi","edris sadeghi"
"0000-0001-7252-3431","22629303","andrew","andrew","andrew rhyne","andrew l rhyne","andrew w bruckner"
"0000-0001-6997-7977","26906802","morgan","morgan","kaye morgan","kaye s morgan","michael j morgan"
"0000-0002-5590-7545","19769365","belmain","steven","steven belmain","steven r belmain","philip c stevenson"
"0000-0002-2662-5717","20488668","manabu ohyama","manabu","manabu ohyama","manabu ohyama","manabu fujimoto"
"0000-0002-5403-9467","23200902","tomasz misztal","tomasz","tomasz misztal","tomasz misztal","tomasz rusak"
"0000-0002-0363-0337","23060507","gilles foucras","gilles","gilles foucras","gilles foucras","gilles meyer"
"0000-0001-7687-8811","19468742","alireza peyman","peyman","alireza peyman","alireza peyman","mohammadreza peyman"
"0000-0002-0313-2522","25620864","tomasz wróbel","tomasz","tomasz wróbel","tomasz wróbel","tomasz stachal"
"0000-0002-6251-0810","31783082","norihito uemura","uemura","norihito uemura","norihito uemura","maiko t uemura"
"0000-0002-3198-4458","27297851","evgeny fominskiy","evgeny","evgeny fominskiy","evgeny fominskiy","evgeny grigoryev"
"0000-0001-7907-5766","19640707","andrew sutherland","andrew","andrew sutherland","andrew sutherland","andrew r crawford"
"0000-0002-0075-6313","20156077","dilek","dilek","dilek gogas yavuz","dilek yavuz","dilek yazici"
"0000-0002-5930-4004","30710338","ransom","jason","jason ransom","jason i ransom","jason e bruggeman"
"0000-0003-0102-6459","29256499","angela","zhang","angela zhang","angela w zhang","jinny x zhang"
"0000-0001-9638-2768","24757116","burrell","james","james burrell","james r burrell","james b rowe"
"0000-0002-6644-3838","20042691","rebekah","lucas","rebekah lucas","rebekah a i lucas","samuel j e lucas"
"0000-0002-7235-505X","31049561","rui zhang","zhang","rui zhang","rui zhang","shenmei zhang"
"0000-0002-3264-990X","30774486","hua jiang","jiang","hua jiang","hua jiang","xinjun jiang"
"0000-0003-0940-037X","26025015","xue zhang","zhang","xue zhang","xue zhang","chong zhang"
"0000-0002-2298-1300","27259157","raivo uibo","raivo","raivo uibo","raivo uibo","raivo kolde"
"0000-0003-4239-0804","24512848","young yang","young","young yang","young yang","do-young yoon"
"0000-0002-0342-9422","29569997","bruna locci","bruna","bruna locci","bruna locci","bruna camilo turi"
"0000-0001-5771-5638","16150910","paolo ciana","paolo","paolo ciana","paolo ciana","paolo sparaciari"
"0000-0001-8312-1438","28883903","jordi merino","jordi","jordi merino","jordi merino","jordi salas-salvadó"
"0000-0003-3930-7037","25602857","gustavo silva","silva","gustavo silva","gustavo silva","nuno silva"
"0000-0003-1799-6716","26617571","liangju kuang","kuang","liangju kuang","liangju kuang","shihuan kuang"
"0000-0002-2975-7977","18576595","hai-long jiang","jiang","hai-long jiang","hai-long jiang","jiang-gao mao"
"0000-0003-0263-2856","31277682","ryan","ryan","ryan visee","ryan j visée","sukhvinder kalsi-ryan"
"0000-0002-3784-5301","14684338","glass","john","john glass","john i glass","robert b johnson"
"0000-0003-4093-7458","25704495","macey","paul","paul macey","paul m macey","paul m thompson"
"0000-0003-1441-5971","28265179","chunyan","wang","wang chunyan","chunyan wang","sheng wang"
"0000-0001-6843-6503","29703993","croarkin","paul","paul croarkin","paul e croarkin","paul a nakonezny"
"0000-0002-4104-4646","29454401","wei wang","wang","wei wang","wei wang","chunsong wang"
"0000-0002-6511-3570","24397481","wei fang","fang","wei fang","wei fang","zhifang hu"
"0000-0001-9325-3194","31289583","xin wang","wang","xin wang","xin wang","guowen wang"
"0000-0002-4304-5079","20362228","olga blau","blau","olga blau","olga blau","igor w blau"
"0000-0003-0803-6692","23812020","hema kini","kini","hema kini","hema kini","ullal anand kini"
"0000-0002-6430-3292","30116744","meng ding","meng","meng ding","meng ding","mengyao chao"
"0000-0002-3925-3828","23924605","anna haduch","anna","anna haduch","anna haduch","anna sadakierska-chudy"
"0000-0001-7068-5613","26268156","marc baldus","marc","marc baldus","marc baldus","marc a caporini"
"0000-0001-6476-5924","27199474","kari neemann","kari","kari neemann","kari neemann","kari simonsen"
"0000-0003-3368-7470","24566928","gin-shin chen","chen","gin-shin chen","gin-shin chen","jung-sung cheng"
"0000-0001-7432-847X","27110384","eric hachulla","eric","eric hachulla","eric hachulla","jacques-eric gottenberg"
"0000-0002-5373-9621","27216495","qingchao wang","wang","qingchao wang","qingchao wang","jia wang"
"0000-0003-0794-2386","21276240","neil pendleton","neil","neil pendleton","neil pendleton","terence w o'neill"
"0000-0002-0552-9363","26365666","jan","jan","jan votypka","jan votýpka","jan hanel"
"0000-0002-3568-2238","31060906","yu sun","sun","yu sun","yu sun","ye sun"
"0000-0001-8233-7149","28859632","zhe li","zhe","zhe li","zhe li","zhenzhen xiong"
"0000-0003-3777-0757","28427846","sartori","ana","ana sartori","ana marli christovam sartori","luciana bertholim nasciben"
"0000-0003-4199-1296","25681775","jian liu","liu","jian liu","jian liu","shen liu"
"0000-0003-1083-7958","26720462","fabian yap","yap","fabian yap","fabian yap","yap-seng chong"
"0000-0003-0317-3225","24288098","qingyu yan","yan","qingyu yan","qingyu yan","dan yang"
"0000-0001-6855-3136","20417678","ok-hwan lee","lee","ok-hwan lee","ok-hwan lee","boo-yong lee"
"0000-0001-5242-8189","27894815","xiaobing shi","shi","xiaobing shi","xiaobing shi","leilei shi"
"0000-0003-0901-708X","14594721","dong-yup lee","lee","dong-yup lee","dong-yup lee","sang yup lee"
"0000-0003-2514-8805","24922443","byeongdu lee","lee","byeongdu lee","byeongdu lee","sungsik lee"
"0000-0002-3837-9867","31500275","hyun-shik lee","lee","hyun-shik lee","hyun-shik lee","dong-seok lee"
"0000-0001-6051-6410","15195107","ng","ng","siok-bian ng","siok bian ng","stephanie fook-chong"
"0000-0003-2679-2547","30829493","yan","he","he yan","yan he","zhi zheng"
"0000-0002-7006-7433","27919529","yu li","li","yu li","yu li","jiaqi liu"
"0000-0001-7313-6740","29966413","yu liu","yu","yu liu","yu liu","yu zhang"
"0000-0002-0760-1357","21309553","wei an","an","wei an","wei an","zhongtao zhang"
"0000-0002-7210-8358","26779181","rui li","li","rui li","rui li","gillian muirhead"
"0000-0002-6990-1996","26059707","li kang","li","li kang","li kang","ashley s williams"
"0000-0002-5213-5877","28237925","shiqi yu","yu","shiqi yu","shiqi yu","yuexiang li"
"0000-0002-3459-6821","29400420","shuyu li","li","shuyu li","shuyu li","xinwei li"
"0000-0002-0796-1109","28007836","hengde li","li","hengde li","hengde li","li jiang"
"0000-0001-5007-4532","27806374","yu hayashi","yu","yu hayashi","yu hayashi","aya ikkyu"
"0000-0002-5385-2472","31601167","shaotang li","li","shaotang li","shaotang li","han lin"
"0000-0002-5372-0373","21317044","kien ming ng","ng","kien ming ng","kien ming ng","kim leng poh"
"0000-0002-9048-3805","29879008","kyung-seok hu","hu","kyung-seok hu","kyung-seok hu","young-chun gil"
"0000-0002-1239-5180","28108392","s kumaravel","s","s kumaravel","s kumaravel","maanasa m bhaskar"
"0000-0002-2826-7503","10640776","","","encarnacion montecino rodriguez","e montecino-rodriguez","n taguchi"
"0000-0001-7408-1526","23606725","","","jens otto lunde jorgensen","jens otto l jørgensen","mikkel holm vendelbo"
"0000-0003-0563-2237","27836687","","","francisco gabriel ortega sánchez","francisco g ortega","karina bravo"
"0000-0002-8638-9744","31760485","","","yesim er oztas","yeşim öztaş","terken baydar"
"0000-0003-2711-4393","20832271","","","el hassan el mouden","hassan el-mouden","virginie delmas"
"0000-0001-5627-7322","18246527","","","niels moller","n møller","t ledet"
"0000-0001-6290-3553","17464824","","","gn ajayakumar thankamony","a thankamony","j ponnampalam"
"0000-0002-0512-7858","11298798","","","luis m. gutierrez","l m gutiérrez","s viniegra"
"0000-0002-5641-6852","12228469","","","arnoldo rocha façanha","a. r. facanha","l. de meis"
"0000-0001-8222-2819","3672813","","","aniceto méndez sánchez","a mendez","m a sierra"
"0000-0003-0852-3765","31282367","","","jose maria sanchez-carvajal","josé m sánchez-carvajal","francisco j pallarés"
"0000-0003-2760-7083","1548314","","","mj garcia","m j garcía","m m fernández de gatta"
"0000-0002-8859-8347","24655319","","","victor a. lorenz fonfria","víctor a lórenz-fonfría","steffen lüdeke"
"0000-0001-7365-6690","27669489","","","jose m. saa","j m saá","v j lillo"
"0000-0002-1906-6945","844083","","","paul urquhart cameron ","p u cameron","d g jones"
"0000-0002-8088-9457","17049551","","","jordi bosch ","j bosch","g d yocum"
"0000-0001-6818-051X","3836240","","","susana francisca llesuy","s f llesuy","c g fraga"
"0000-0001-9907-2626","23244827","","","pablo bermejo-Álvarez","p bermejo-álvarez","m a ramírez"
"0000-0001-9045-736X","27943593","","","prakash chandra  ","prakash chandra","latha anandakrishna"
"0000-0002-7768-2199","18465165","","","andré elias rodrigues soares","andré e r soares","marcelo a soares"
"0000-0002-3045-5669","11901547","","","malgorzata karbownik-lewinska","małgorzata karbownik","russel j reiter"
"0000-0003-1952-0391","28747024","","","maría estrella  lópez-pardo pardo","estrella lópez-pardo","maría pereira-vazquez"
"0000-0001-9043-0378","30489673","","","simon fandler-höfler","s fandler","d pinter"
"0000-0001-5073-0691","24692794","","","Ömer bozdoğan","omer bozdogan","ersoz gonca"
"0000-0001-8572-1437","19019892","","","annette van der helm - van mil","a h m van der helm-van mil","s j white"
"0000-0001-6110-6587","23910913","","","mireia ruiz castilla","m ruiz-castilla","j p barret"
"0000-0002-1506-0327","19657117","","","andre duraes","andré rodrigues durães","lilian souza araujo"
"0000-0003-2381-494X","27546543","","","jana hudzietzová","j hudzietzova","m fulop"
"0000-0003-2786-0062","21513202","","","jose maria gabriel y galan","josé maría gabriel y galán","cristina martínez-calvo"
"0000-0002-2748-4047","16310307","","","muruvvet yurdakoc","m kadir yurdakoç","yoldaş seki"
"0000-0002-1872-1397","29547759","","","enrique hernandez-lemus","e hernández-lemus","h gonzález-pacheco"
"0000-0002-8365-6173","25936973","","","andrea petroczi","a petróczi","b hoxha"
"0000-0002-8915-9223","31443338","","","mikołaj kozłowski","mikolaj kozlowski","jakub zurawski"
"0000-0002-3467-8034","24903610","","","ozlen ferruh yasar","özlen f erdem","thomas weyhermüller"
"0000-0001-5790-1481","30596634","","","j. christian perez","j christian pérez","robert puccinelli"
"0000-0001-6952-0029","25687381","","","elisa dora bal de kier joffe","elisa bal de kier joffé","martin alejandro krasnapolski"
"0000-0002-0338-6581","8163010","","","josip lovric","j lovrić","o bischof"
"0000-0001-8890-6250","31107932","","","david augusto diaz baez","david díaz-báez","pier gallo"
"0000-0002-1690-1159","7412287","","","tamas zakar","t zakár","m tóth"
"0000-0001-5403-7667","30293957","","","senthil vadivu arumugam","a senthilvadivu","m kameswaran"
"0000-0002-7709-7248","23159238","","","jorge luis de leon rendon","j l de león-rendón","j k yamamoto-furusho"
"0000-0002-0578-0611","11219809","","","arturo san feliciano","a s feliciano","m d garcía-grávalos"
"0000-0002-5940-7230","22582279","","","alexandre wilson bisson filho","alexandre w bisson-filho","frederico j gueiros-filho"
"0000-0002-5417-2428","7710837","","","miroslaw krosniak","m krośniak","p zagrodzki"
"0000-0002-9695-4559","11162430","","","lise bjørkhaug gundersen","l bjørkhaug","p r njølstad"
"0000-0001-7314-2913","29717314","xu","","longkun xu","long-kun xu","ting-jun bi"
"0000-0002-6131-1297","26866787","ho","","james cs ho","james c s ho","padmini rangamani"
"0000-0003-1907-0423","25140087","oh","","jaeseop oh","jae-seop oh"," "
"0000-0002-3215-1095","23644193","li","","xiaochen li","xiao-chen li","yi-chao zheng"
"0000-0002-2808-7078","24731312","ma","","mengmeng ma","meng-meng ma","xiao-rong ren"
"0000-0001-8108-4637","27061764","bi","","bi honglun","hong-lun bi","yong-ping huang"
"0000-0001-6062-4649","16832092","li","","li li","l m li","t a m cardoso"
"0000-0002-8564-7115","29371980","neu","","marie a. neu","marie a neu","larissa seidmann"
"0000-0001-6470-3651","20523106","gan","","siew hua gan","s h gan","a b ruzilawati"
"0000-0001-6554-7734","24635020","ana","","ana quinones","ana r quiñones","daniel austin"
"0000-0001-9314-5468","26553395","ngu","","siew fei ngu","siew-fei ngu","hextan y s ngan"
"0000-0003-3131-9017","11303883","ros","","domenec ros","d ros","d pareto"
"0000-0001-8122-509X","28855660","ivo","","ivo gomperts boneca","ivo g boneca","elena forte"
"0000-0002-0883-841X","24167801","lee","","jong young lee","jong-young lee","sang-duk yoon"
"0000-0002-9762-4818","20566960","yin","","hang hubert yin","hang yin","lin gao"
"0000-0002-9200-3297","24870776","won","","jong-uk won","jong uk won","chung mo nam"
"0000-0002-4294-876X","22527044","jan","","jan jehlicka","jan jehlička","aharon oren"
"0000-0003-1147-444X","21660065","zur","","dinah zur","d zur","m giladi"
"0000-0003-4492-9156","10988300","xia","","guoqing xia","g xia","h g kang"
"0000-0003-3922-1874","30694178","yao","","conghui yao","cong-hui yao","yahui wang"
"0000-0002-2192-825X","30123908","guo","","guo ","zhiqian guo","junma tang"
"0000-0002-0377-6352","21321460","cho","","kyung hoon cho","kyung hun cho","myung ho jeong"
"0000-0002-9566-041X","19442511","nur","","omer nur","o nur","m willander"
"0000-0001-7316-7141","19403677","jan","","münch jan","jan munch","frank kirchhoff"
"0000-0003-4977-9724","27659791","jin","","zhiping jin","zhi-ping jin","tsvi piran"
"0000-0001-5551-5181","20519968","ana","","ana lopez-de-andres","ana lopez de andres","valentín hernández-barrera"
"0000-0003-4184-0025","31572449","yue","","yong-jian yue","yongjian yue","minlian wang"
"0000-0003-0208-3658","12514455","eva","","eva widerstrom-noga","eva widerström-noga"," "
"0000-0002-3542-5047","24797327","zuo","","zhiyi zuo","z zuo","j cao"
"0000-0002-7183-610X","29980337","kind","","amy kind","amy j h kind","corrine i voils"
"0000-0002-4866-0775","24117709","lago","","paola lago","p lago","l pieragostini"
"0000-0001-6316-1002","27074379","chou","","piling chou","pi-ling chou","hsiang-chu pai"
"0000-0003-1380-967X","26558389","mari","","mari yoshida (robbins)","mari yoshida","phillip j robbins"
"0000-0002-0378-9698","26936028","kern","","matthias kern","m kern","s wolfart"
"0000-0003-2321-3159","1708852","kast","","w martin kast","w m kast","t n schumacher"
"0000-0003-2429-5491","29329614","rauf","","dr. abdur rauf","abdur rauf","ghias uddin"
"0000-0001-5149-9110","31840058","neal","","lori m. neal","lori m neal","alison j eastman"
"0000-0003-0773-1212","15714059","wang","","y. lynn wang","y lynn wang","mario gomez"
"0000-0002-3825-3666","30709218","kemp","","gregory  kemp","g e kemp","r nora"
"0000-0002-8503-2153","30184447","ball","","ian ball","ian m ball","robert sibbald"
"0000-0002-1585-2076","25791836","zhou","","zhihua zhou","zhi-hua zhou","hai-bin zhao"
"0000-0001-7210-3330","16264792","wong","","rebecca ks wong","rebecca wong"," "
"0000-0001-7790-1868","24399390","taku","","anil taku","a taku","s gazal"
"0000-0001-6174-8029","21405747","joan","","joan saldana","joan saldaña","david juher"
"0000-0002-7735-6561","31774194","wang","","wang man","man wang","juan yang"
"0000-0003-1398-9914","15181330","emad","","ali farid emad","emad farid","sami asfar"
"0000-0002-5170-2155","18359038","anja","","anja steffen-heins","anja heins","heiko stöckmann"
"0000-0001-7712-961X","30187228","eric","","eric chow","eric j chow","beth a mueller"
"0000-0002-5392-0076","24619612","wang","","jack p. wang","jack p wang","vincent l chiang"
"0000-0002-3039-4392","20231880","gary","","gary yang","gary k yang","cuilan nian"
"0000-0002-0426-4308","2302193","kita","","kiyoshi kita","k kita","h oya"
"0000-0002-4436-0652","22091989","baud","","stephanie baud","stéphanie baud","sarah rauscher"
"0000-0002-8838-201X","9288190","hunt","","jay hunt","j d hunt","w r castaneda-zuniga"
"0000-0003-3833-1430","28040701","barz","","timothy barz","tim barz","parisa momtaz"
"0000-0001-5832-5017","22101213","khan","","mohammad imran khan","mohd imran khan","iqbal ahmad"
"0000-0001-8556-2579","15240739","milo","","ron milo","roni milo","miriam eisenstein"
"0000-0003-2370-2438","23084482","peel","","trisha peel","t n peel","k l buising"
"0000-0002-5523-1979","18275941","brea","","jose brea","josé brea","jesús hierrezuelo"
"0000-0001-8677-2340","10506652","haro","","isabel haro","i haro","m garcía"
"0000-0002-3271-250X","27104861","satu","","satu turunen-taheri","satu turunen taheri","margareta notsten"
"0000-0002-6135-2873","20943518","lado","","carlos lado","c lado","a estrada-torres"
"0000-0001-6991-0481","26302330","kang","","min gu kang","mingu kang","f ronning"
"0000-0002-1383-0535","25672759","ming","","ming li","ming o li","chong t luo"
"0000-0003-4278-5689","2057447","endo","","tetsuya endo","t endo","s nakaya"
"0000-0002-7015-1432","22053727","phan","","phan dinh van","dinh-van phan","nan-ping yang"
"0000-0002-6018-2091","21901864","gary","","gary lye","gary j lye","farlan s veraitch"
"0000-0002-3906-6360","30472550","aroa","","aroa relaÑo gines","aroa relaño-ginés","carole crozet"
"0000-0002-1094-7498","24201039","paul","","paul graf","paul c f graf","ryan c maves"
"0000-0002-7204-5019","9441698","gong","","haiyan gong","h gong","m johnson"
"0000-0001-6087-6424","27889075","john","","john burt","john a burt","morgan s pratchett"
"0000-0003-1242-4401","20338451","cole","","john cole","j b cole","s a attalla"
"0000-0001-9144-9310","16888149","abad","","catalina abad","c abad","a arranz"
"0000-0002-4580-1624","9242902","wold","","marc wold","m s wold"," "
"0000-0002-6179-0793","7534614","hier","","daniel hier","d b hier","c s jao"
"0000-0002-5909-8570","26732506","marc","","marc liesa roig","marc liesa","eli c lewis"
"0000-0002-4574-5212","25680652","baum","","thomas baum","t baum","g b joseph"
"0000-0001-9127-0396","27830489","juan","","juan anso","juan ansó","stefan weber"
"0000-0002-0117-9976","21884695","huang","","zhaohui huang","zhao-hui huang","dong hua"
"0000-0001-5429-3716","25192180","pavel","","pavel belan","pavel v belan","andrey r stepanyuk"
"0000-0003-1511-1048","20214527","viens","","patrice viens","p viens","b sherrill"
"0000-0002-0392-4562","25010482","jason","","jason fritz","jason r fritz","marcia simon"
"0000-0002-1439-0076","27935489","osman","","osman ahmed","osman hassan ahmed","steffan griffin"
"0000-0003-3851-9740","25871323","hirst","","mark hirst","mark c hirst","steve w walters"
"0000-0003-3571-4399","19328712","walsh","","brad walsh","bradley walsh","jingjing you"
"0000-0001-6033-2515","24889094","costi","","costi sifri","costi d sifri","valerie greco-stewart"
"0000-0002-0922-0216","11456774","stone","","michael stone","m p stone","l v nechev"
"0000-0003-1022-4326","22482996","guido","","guido pauli","guido f pauli","david c lankin"
"0000-0002-5157-9046","15862882","dicks","","leon dicks","l m t dicks","r bauer"
"0000-0002-1602-0140","29510545","henry","","jeya henry","christiani jeyakumar henry","xinyan bi"
"0000-0002-0712-2540","18400064","jemec","","gregor jemec","g b e jemec","j revuz"
"0000-0002-1733-1119","26853894","teran","","richard teran","r teran","p n kumar"
"0000-0003-1332-156X","1691469","kawai","","yoshinori kawai","y kawai","h takagi"
"0000-0002-0655-0105","23216341","fatih","","fatih ozogul","fatih ozoğul","esmeray kuley"
"0000-0001-5072-5892","16248996","moral","","pedro moral","p moral","c m calo"
"0000-0003-1014-6225","9774219","gobbi","","marco gobbi","m gobbi","a parazzoli"
"0000-0002-2178-9413","23187951","punga","","anna punga","a r punga","m andersson"
"0000-0001-9252-938X","9016825","huang","","tur-fu huang","t f huang","c z liu"
"0000-0002-4343-2634","17143280","kampa","","bjoern kampa","björn m kampa","werner göbel"
"0000-0002-3033-0073","25610268","akbas","","emin murat akbas","emin m akbas","cigdem ozdemir"
"0000-0002-6153-7595","9878851","jiang","","aixiang jiang","a jiang","j lei"
"0000-0003-0637-281X","19816565","lagos","","dimitris lagos","dimitrios lagos","fiona gratrix"
"0000-0002-7123-8759","18964768","bosch","","elisabeth bosch","e bosch","m rosés"
"0000-0003-1765-0838","23777362","gavin","","gavin falk","gavin a falk","shahid g farid"
"0000-0002-4934-650X","16137787","eliot","","eliot atekwana ","eliot a atekwana","estella atekwana"
"0000-0003-1284-6049","18091513","aadil","","aadil khan","aadil a khan","andrew j diver"
"0000-0002-3613-5770","27404349","lewis","","aurélia eva lewis","aurélia e lewis","rhîan g jacobsen"
"0000-0002-8799-6079","29526310","mauro","","mauro lago docampo","mauro lago-docampo","adolfo baloira"
"0000-0001-5503-3967","20238386","otton","","rosemari otton","r otton","d p marin"
"0000-0003-4999-8783","15635617","klomp","","houke klomp","h m klomp","e w steyerberg"
"0000-0002-8590-3916","12594150","whyte","","simon whyte","s d whyte","p d booker"
"0000-0001-5525-0494","10706216","silva","","alcino silva","a j silva","j h kogan"
"0000-0003-2017-3788","11941434","wenzl","","thomas wenzl","t wenzl","e p lankmayr"
"0000-0002-6364-4124","29386397","jing ","","jing ","jing ye","menno p witter"
"0000-0002-8354-346X","10987839","peers","","chris peers","c peers","s c taylor"
"0000-0001-7517-3721","18574806","ralph","","ralph mason","ralph p mason","praveen gulaka"
"0000-0003-4464-1830","8508056","hagel","","isabel hagel","i hagel","m c diprisco"
"0000-0002-4165-9253","23453522","roche","","john roche","j r roche","a j sheahan"
"0000-0002-9497-5540","18318960","chang","","peter r. chang","peter r chang","yu-feg zhang"
"0000-0002-7615-3041","24158493","kozak","","frederick k. kozak","frederick k kozak","jeffrey p ludemann"
"0000-0003-4867-0014","8089523","nucci","","marcio nucci","m nucci","w a pulcheri"
"0000-0003-2969-7043","9336461","zhang","","shaoping zhang","s zhang","m stancek"
"0000-0001-9601-6688","11105769","cacho","","juan cacho","j f cacho","v ferreira"
"0000-0001-6111-5571","12947434","monro","","john monro","j a monro","p liu"
"0000-0001-9521-771X","19570519","sarah","","sarah hatt","sarah r hatt","jonathan m holmes"
"0000-0002-4300-8534","30179308","petra","","petra cerna","petra černá","conor o'halloran"
"0000-0002-6906-9925","25839393","dario","","dario longo","dario livio longo","maddalena arigoni"
"0000-0002-7113-9988","20349071","leyla","","leyla pur ozyigit","leyla pur","reyhan yildiz"
"0000-0002-3662-9607","24094043","denis","","denis jeronimo svicero","denis j svicero","rogério m amorim"
"0000-0002-8781-6154","22056651","salje","","ekhard salje","e k h salje","m a carpenter"
"0000-0002-9985-9565","21059889","jatin","","jatin vyas","jatin m vyas","pia v kasperkovitz"
"0000-0002-2743-4584","23357599","braae","","uffe christian braae","u c braae","h a ngowi"
"0000-0002-6011-5040","29860359","juana","","juana del valle mendoza","juana del valle-mendoza","corpus cerna"
"0000-0002-1645-6091","10628841","ronne","","hans ronne","h ronne","d balciunas"
"0000-0003-1431-4054","31164273","trout","","andrew trout","a t trout","c e barnewolt"
"0000-0001-7519-5592","23220152","moore","","edwin dw moore","edwin d w moore","david r l scriven"
"0000-0002-1986-4680","2171841","kansu","","tulay kansu","t kansu","e tan"
"0000-0002-7511-9036","28377684","kevin","","kevin read","kevin b read","fred willie zametkin lapolla"
"0000-0002-1715-6648","30442260","evain","","jean-noël evain","j-n evain","n hanna"
"0000-0002-0239-5259","24045775","babur","","ozgun babur","özgün babur","selçuk onur sümer"
"0000-0001-9835-957X","31774189","raval","","jay raval","jay s raval","marissa li"
"0000-0002-8715-5026","24384216","simon","","simon yu","simon c h yu","anthony m h ho"
"0000-0001-9622-3185","18691825","maria","","maria vicario perez","maria vicario","mary h perdue"
"0000-0002-4246-970X","21359434","terra","","vera terra","vera c terra","esper a cavalheiro"
"0000-0003-0759-1731","12839995","lydie","","lydie plecitá-hlavatá","lydie hlavatá","alena pichová"
"0000-0002-0681-3032","8917038","sakai","","hiromi sakai","h sakai","s takeoka"
"0000-0002-2102-2642","18715095","patey","","grenfell patey","g n patey","h v spohr"
"0000-0001-8548-7943","30289036","peter","","peter flatt","peter r flatt","guillaume mabilleau"
"0000-0001-5921-9048","31305994","zheng","","hu zheng","zheng hu","miao zhang"
"0000-0001-7242-6156","17222708","kauff","","noah kauff","noah d kauff","karen h lu"
"0000-0002-2981-0491","29990122","parra","","Álvaro parra","alvaro parra bustos","tat-jun chin"
"0000-0003-2949-9864","22248269","vitek","","pavel vitek","p vitek","m pala"
"0000-0003-3542-4850","28766637","gavin","","gavin craig","gavin a craig","takuya shiga"
"0000-0001-7683-718X","9306986","gatti","","jean-luc gatti","j l gatti","c jeulin"
"0000-0001-5740-1954","20007976","joyce","","joyce repa","joyce j repa","robert j ketchum"
"0000-0002-2308-2200","21255597","glenn","","glenn king","glenn f king","eivind a b undheim"
"0000-0001-8715-9329","23211188","anna ","","anna ","anna m schläfli","mario p tschan"
"0000-0002-7188-8903","28570722","rayaz","","rayaz malik","rayaz a malik","zehra akpinar"
"0000-0002-0348-0834","15489239","dukic","","vanja dukic","v m dukic","e f schisterman"
"0000-0002-7170-2291","18804860","kundu","","subhas c. kundu","subhas c kundu","chitrangada acharya"
"0000-0002-6290-2849","14765257","david","","david evans","david j evans","francisco otón"
"0000-0003-0574-0502","31379594","james","","james gavin","james p gavin","david a jones"
"0000-0002-6700-5581","18943542","frank","","frank louws","frank j louws","robert a cramer"
"0000-0003-4622-4897","25830782","judit","","judit bort roig","judit bort-roig","joan c martori"
"0000-0002-4857-5204","15755516","pizzi","","marina pizzi","m pizzi","m benarese"
"0000-0003-4194-043X","24151778","sarah","","sarah marsh","sarah e marsh","norma b gorosito"
"0000-0003-3004-8905","3249018","takei","","yoshio takei","y takei","h kobayashi"
"0000-0003-4803-6507","20484777","keall","","paul keall","paul j keall","byungchul cho"
"0000-0002-9515-770X","21511509","nazif","","nazif elaldi","nazif elaldı","abdülaziz gültürk"
"0000-0002-0788-8108","21715661","cetin","","arif e. cetin","arif e cetin","hatice altug"
"0000-0002-7629-3132","27095683","crupi","","rosalia crupi","crupi r","siracusa r"
"0000-0001-9177-8827","28542477","steyn","","adrie jc steyn","adrie j c steyn","bridgette m cumming"
"0000-0002-7791-5407","30671519","james","","james owen","james s owen","david j sample"
"0000-0002-1171-4215","31665006","sibon","","igor sibon","i sibon","r salamon"
