"orcid","pm_id","top1matcher_longest_common_word","top2matcher_longest_common_word","orcid_name","matched_biblio_author","matched_biblio_author2"
"0000-0002-6549-1168","27645823","daizoh satoh","","daizoh satoh","daizoh satoh","yoshiyuki naito"
"0000-0002-7982-6483","31481509","hak soo choi","","hak soo choi","hak soo choi","homan kang"
"0000-0003-4036-9577","30545852","xuefang zhao","","xuefang zhao","xuefang zhao","lingxue zhu"
"0000-0002-5503-4940","29184133","john stoffel","","john stoffel","john stoffel","blayne welk"
"0000-0003-4396-9877","21751767","vikas khetan","","vikas khetan","vikas khetan","tandava krishnan"
"0000-0002-7132-784X","16932910","masumi akita","","masumi akita","masumi akita","akira satomi"
"0000-0003-3201-4696","31047941","mingshi yang","","mingshi yang","mingshi yang","xiyan wang"
"0000-0002-6591-5119","29471541","john hardman","","john hardman","john hardman","shahram anari"
"0000-0002-2035-0871","30206155","alex harkess","","alex harkess","alex harkess"," "
"0000-0002-3279-4349","21754885","ching kheng ","","ching kheng  quah","ching kheng quah","rokiah hashim"
"0000-0003-4005-7928","16505648","patrick blin","","patrick blin","patrick blin","philippe montravers"
"0000-0003-0143-2190","12398293","mark tibbett","","mark tibbett","mark tibbett"," "
"0000-0003-2765-9334","28794670","ingrid munck","","ingrid munck","ingrid munck","maria levander"
"0000-0002-1094-0472","18620498","roli dwivedi","","roli dwivedi","roli dwivedi","sam kieley"
"0000-0002-1563-8942","18086232","rita zrenner","","rita zrenner","rita zrenner","heike riegler"
"0000-0003-4353-5809","12819030","osamu yoshie","","osamu yoshie","osamu yoshie","hiroshi nagura"
"0000-0003-4205-8465","29497877","kosuke nishi","","kosuke nishi","kosuke nishi","ayuka tagashira"
"0000-0002-1647-6121","23888258","simone landi","","simone landi","simone landi","antonella savoia"
"0000-0003-4271-0310","15769085","xintao shuai","","xintao shuai","xintao shuai","thomas merdan"
"0000-0002-5577-2732","22112170","verity pacey","","verity pacey","verity pacey","robert s ware"
"0000-0002-8537-1198","28176474","peter mollee","","peter mollee","peter mollee","andrew mallett"
"0000-0002-9640-1911","29206244","mark plummer","","mark plummer","mark plummer","marek czosnyka"
"0000-0002-9707-7199","30977979","denis fouque","","denis fouque","denis fouque","kamyar kalantar-zadeh"
"0000-0002-9945-4306","28413189","byung-hee oh","","byung-hee oh","byung-hee oh","hae-young lee"
"0000-0002-5662-5136","24205604","jeong ho ryu","","jeong ho ryu","jeong ho ryu","ok geun jeong"
"0000-0002-8873-293X","27263970","hongjun zhou","","hongjun zhou","hongjun zhou","véronique lisi"
"0000-0002-6028-4776","22505030","kotaro fujii","","kotaro fujii","kotaro fujii","makoto kitabatake"
"0000-0002-0369-877X","24508818","guoyou huang","","guoyou huang","guoyou huang","shuqi wang"
"0000-0001-6838-6702","30713587","hugo arasanz","","hugo arasanz","hugo arasanz","grazyna kochan"
"0000-0002-3553-6396","15282158","bruno monier","","bruno monier","bruno monier","romina ponzielli"
"0000-0002-9669-4718","21480581","jiangtao gao","","jiangtao gao","jiangtao gao","mark t hamann"
"0000-0003-4985-1810","24905463","sascha brune","","sascha brune","sascha brune","christian heine"
"0000-0001-7946-9255","24388756","raul rabadan","","raul rabadan","raul rabadan","hossein khiabanian"
"0000-0003-0832-773X","27061883","fabio trippa","","fabio trippa","fabio trippa","michela buglione"
"0000-0001-6869-0704","30667365","nicola fazio","","nicola fazio","nicola fazio","maurizio voi"
"0000-0003-0422-1954","27566484","diana gaspar","","diana gaspar","diana gaspar","dimitrios i zeugolis"
"0000-0003-0472-0657","28039354","ruhamyankaka","","ruhamyankaka emmanuel","emmanuel ruhamyankaka","moses r kamya"
"0000-0003-3982-1685","19374740","pekka rapeli","","pekka rapeli","pekka rapeli","hely kalska"
"0000-0001-6493-2155","30053752","bader shirah","","bader shirah","bader shirah","ahmed absi"
"0000-0003-3413-5977","27075850","chao-gan yan","","chao-gan yan","chao-gan yan","xin-di wang"
"0000-0003-0799-344X","27502948","merja kallio","","merja kallio","merja kallio","tero kontiokari"
"0000-0002-4342-0780","15195992","göran holst","","göran holst","göran holst","mats thorslund"
"0000-0002-6874-6103","30006628","ergin atalar","","ergin atalar","ergin atalar","ali caglar özen"
"0000-0003-2086-9865","9503328","fischmeister","","rodolphe fischmeister","r fischmeister","t eschenhagen"
"0000-0002-9774-115X","30291360","kreutzberger","","alex kreutzberger","alex j b kreutzberger","j david castle"
"0000-0001-9498-3797","31324824","rosa trobajo","","rosa trobajo","rosa trobajo","john j bolton"
"0000-0003-2075-1998","29894776","matthew jung","","matthew jung","matthew jung","kathleen puttmann"
"0000-0002-1126-3901","28649942","colleen ryan","","colleen ryan","colleen ryan","margaret mcallister"
"0000-0002-4353-9968","22493542","luis bujanda","","luis bujanda","luis bujanda","angel cosme"
"0000-0003-0961-7296","11934104","luca savelli","","luca savelli","luca savelli","luigi f orsini"
